BEGINDATE;CLOSED;CLOSEDATE;COMPANY_ID;ID;OPPORTUNITY;PROBABILITY
2017-04-03T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;13;10080;8091.00;0
2017-06-01T03:00:00+03:00;N;2017-11-27T03:00:00+03:00;13;10598;21025.00;0
2017-04-03T03:00:00+03:00;N;2017-08-31T03:00:00+03:00;13;11749;14978.50;0
2017-09-25T03:00:00+03:00;N;2017-10-06T03:00:00+03:00;13;12108;29250.00;100
2017-10-31T03:00:00+03:00;N;2017-11-28T03:00:00+03:00;13;12353;14862.50;0
2017-10-31T03:00:00+03:00;N;2017-11-28T03:00:00+03:00;13;12712;16312.50;0
2018-07-02T03:00:00+03:00;N;2018-10-24T03:00:00+03:00;13;13857;230000.00;
2017-10-31T03:00:00+03:00;N;2017-11-28T03:00:00+03:00;13;13946;63075.00;0
2018-07-02T03:00:00+03:00;N;2018-12-17T03:00:00+03:00;13;14020;354000.00;
2018-07-02T03:00:00+03:00;N;2018-12-17T03:00:00+03:00;13;14022;350000.00;
2018-07-02T03:00:00+03:00;N;2018-12-17T03:00:00+03:00;13;14024;244000.00;
2018-09-10T03:00:00+03:00;N;2018-10-26T03:00:00+03:00;13;14138;320000.00;
2017-10-31T03:00:00+03:00;N;2017-11-28T03:00:00+03:00;13;14140;45675.00;0
2018-10-29T03:00:00+03:00;N;2018-11-16T03:00:00+03:00;13;14270;271500.00;
2015-05-12T03:00:00+03:00;Y;2015-05-18T03:00:00+03:00;17;2721;0.00;0
2016-01-26T03:00:00+03:00;Y;2016-05-20T03:00:00+03:00;17;6656;0.00;0
2013-11-11T03:00:00+04:00;Y;2014-03-11T03:00:00+04:00;25;129;121000.00;50
2013-12-12T03:00:00+04:00;Y;2013-12-19T03:00:00+04:00;25;347;80000.00;80
2014-01-19T03:00:00+04:00;Y;2014-01-26T03:00:00+04:00;25;389;195000.00;50
2014-04-20T03:00:00+04:00;Y;2014-04-27T03:00:00+04:00;25;731;411000.00;80
2014-07-17T03:00:00+04:00;Y;2014-07-24T03:00:00+04:00;25;1109;8000.00;0
2014-12-10T03:00:00+03:00;Y;2015-01-26T03:00:00+03:00;25;1775;0.00;0
2015-02-24T03:00:00+03:00;Y;2015-02-26T03:00:00+03:00;25;2207;0.00;0
2015-03-06T03:00:00+03:00;Y;2015-03-13T03:00:00+03:00;25;2265;52200.00;0
2015-03-10T03:00:00+03:00;Y;2015-10-16T03:00:00+03:00;25;2273;135500.00;0
2015-03-10T03:00:00+03:00;Y;2015-06-16T03:00:00+03:00;25;2701;86400.00;0
2015-05-13T03:00:00+03:00;Y;2015-09-14T03:00:00+03:00;25;2751;27200.00;0
2013-12-12T03:00:00+04:00;Y;2013-12-19T03:00:00+04:00;29;345;43000.00;0
2014-01-14T03:00:00+04:00;Y;2014-01-21T03:00:00+04:00;29;383;31275.00;0
2014-05-25T03:00:00+04:00;Y;2014-06-01T03:00:00+04:00;29;889;10000.00;70
2014-07-06T03:00:00+04:00;Y;2014-07-13T03:00:00+04:00;29;1057;12518.00;100
2013-06-12T03:00:00+04:00;Y;2013-06-19T03:00:00+04:00;11;15;9900.00;0
2014-11-13T03:00:00+03:00;Y;2014-11-20T03:00:00+03:00;11;1701;10000.00;50
2015-07-08T03:00:00+03:00;Y;2015-11-20T03:00:00+03:00;11;3715;0.00;0
2018-05-15T03:00:00+03:00;N;2018-05-22T03:00:00+03:00;11;13284;0.00;
2014-09-04T03:00:00+04:00;Y;2014-09-11T03:00:00+04:00;33;1395;1078.00;50
2014-09-11T03:00:00+04:00;Y;2014-09-18T03:00:00+04:00;33;1461;83549.00;50
2013-10-16T03:00:00+04:00;Y;2014-03-11T03:00:00+04:00;37;57;60000.00;0
2014-01-21T03:00:00+04:00;Y;2014-01-28T03:00:00+04:00;39;399;400000.00;50
2014-09-24T03:00:00+04:00;Y;2014-10-01T03:00:00+04:00;43;1501;6138.00;0
2015-09-22T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;43;5126;7238.00;0
2016-04-29T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;43;7440;5800.00;0
2016-09-01T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;43;8250;7250.00;0
2014-02-19T03:00:00+04:00;Y;2014-02-26T03:00:00+04:00;49;499;5250.00;100
2014-03-02T03:00:00+04:00;Y;2016-09-24T03:00:00+03:00;49;555;103550.00;50
2013-10-13T03:00:00+04:00;Y;2013-10-20T03:00:00+04:00;51;41;1900.00;100
2014-09-03T03:00:00+04:00;Y;2014-09-10T03:00:00+04:00;55;1383;1078.00;0
2014-12-12T03:00:00+03:00;Y;2014-12-12T03:00:00+03:00;55;1799;34400.00;80
2014-12-13T03:00:00+03:00;Y;2014-12-23T03:00:00+03:00;55;1801;34400.00;80
2015-02-09T03:00:00+03:00;Y;2015-02-16T03:00:00+03:00;55;2141;0.00;0
2015-08-28T03:00:00+03:00;Y;2015-09-24T03:00:00+03:00;55;4702;1078.00;0
2015-01-16T03:00:00+03:00;Y;2015-05-12T03:00:00+03:00;59;1959;10000.00;0
2016-12-06T03:00:00+03:00;Y;2017-05-19T03:00:00+03:00;59;9138;22739.00;0
2013-09-29T03:00:00+04:00;Y;2018-02-13T03:00:00+03:00;63;17;100000.00;80
2013-10-02T03:00:00+04:00;Y;2013-10-09T03:00:00+04:00;67;23;4900.00;100
2013-09-30T03:00:00+04:00;Y;2013-10-06T03:00:00+04:00;67;29;4900.00;100
2016-12-14T03:00:00+03:00;Y;2017-09-20T03:00:00+03:00;67;9190;0.00;0
2013-10-03T03:00:00+04:00;Y;2013-11-26T03:00:00+04:00;71;27;40000.00;50
2013-10-09T03:00:00+04:00;Y;2013-10-16T03:00:00+04:00;75;35;11875.00;100
2013-12-18T03:00:00+04:00;Y;2013-12-25T03:00:00+04:00;75;371;60000.00;50
2016-03-31T03:00:00+03:00;Y;2016-11-18T03:00:00+03:00;75;8030;29000.00;0
2013-10-13T03:00:00+04:00;Y;2013-10-20T03:00:00+04:00;87;45;27700.00;0
2014-10-20T03:00:00+04:00;Y;2014-10-27T03:00:00+03:00;87;1601;3058.00;50
2014-06-24T03:00:00+04:00;Y;2014-07-01T03:00:00+04:00;119;1025;2300.00;50
2014-07-22T03:00:00+04:00;Y;2015-05-19T03:00:00+03:00;119;1121;34950.00;0
2014-10-13T03:00:00+04:00;Y;2014-10-20T03:00:00+04:00;119;1589;6138.00;50
2015-01-14T03:00:00+03:00;Y;2015-01-21T03:00:00+03:00;119;1905;2835.00;0
2015-05-05T03:00:00+03:00;Y;2015-05-07T03:00:00+03:00;119;2675;2975.00;0
2015-08-13T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;119;4613;2975.00;0
2015-08-13T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;119;6432;2975.00;0
2017-10-12T03:00:00+03:00;Y;2017-12-31T03:00:00+03:00;119;12230;7898.00;0
2017-10-12T03:00:00+03:00;N;2017-10-19T03:00:00+03:00;119;12232;11700.00;0
2013-11-10T03:00:00+04:00;Y;2013-11-17T03:00:00+04:00;121;123;600.00;100
2013-11-27T03:00:00+04:00;Y;2013-12-04T03:00:00+04:00;139;155;17000.00;90
2014-05-19T03:00:00+04:00;Y;2014-05-26T03:00:00+04:00;139;875;4510.00;50
2013-12-10T03:00:00+04:00;Y;2013-12-17T03:00:00+04:00;161;337;66300.00;80
2013-12-16T03:00:00+04:00;Y;2013-12-23T03:00:00+04:00;169;359;34410.00;100
2014-06-24T03:00:00+04:00;Y;2014-07-01T03:00:00+04:00;169;1017;15000.00;50
2015-12-21T03:00:00+03:00;Y;2016-02-04T03:00:00+03:00;169;6520;27200.00;0
2014-03-06T03:00:00+04:00;Y;2014-03-13T03:00:00+04:00;171;595;20000.00;80
2014-03-26T03:00:00+04:00;Y;2014-04-02T03:00:00+04:00;171;635;30000.00;0
2014-12-17T03:00:00+03:00;Y;2014-12-24T03:00:00+03:00;171;1845;1078.00;0
