DATE_BILL;DATE_PAYED;DATE_PAY_BEFORE;PAYED;PRICE;STATUS_ID;UF_COMPANY_ID
2014-09-10T03:00:00+04:00;2014-09-19T15:48:13+04:00;;Y;19950.0000;P;13
2014-09-11T03:00:00+04:00;2014-09-25T11:43:48+04:00;;Y;7350.0000;P;823
2014-09-11T03:00:00+04:00;2014-09-19T15:48:24+04:00;;Y;2300.0000;P;5489
2014-09-15T03:00:00+04:00;2014-09-25T11:43:54+04:00;;Y;7200.0000;P;823
2014-09-18T03:00:00+04:00;2014-10-06T13:38:46+04:00;;Y;128575.0000;P;813
2014-09-18T03:00:00+04:00;;;N;83600.0000;D;813
2014-09-24T03:00:00+04:00;2014-10-01T09:28:19+04:00;;Y;4200.0000;P;195
2014-09-25T03:00:00+04:00;2014-10-01T09:28:05+04:00;;Y;6138.0000;P;43
2014-10-02T03:00:00+04:00;;;N;1250.0000;D;823
2014-10-02T03:00:00+04:00;2014-11-26T08:04:52+03:00;;Y;42900.0000;P;27647
2014-10-02T03:00:00+04:00;2014-12-30T15:27:52+03:00;;Y;24900.0000;P;27647
2014-10-05T03:00:00+04:00;;;N;1050.0000;D;29623
2014-10-07T03:00:00+04:00;2014-10-13T14:28:34+04:00;;Y;2080.0000;P;29627
2014-10-08T03:00:00+04:00;2014-11-25T14:21:16+03:00;;Y;3800.0000;P;775
2014-10-13T03:00:00+04:00;2014-10-15T12:51:08+04:00;;Y;44400.0000;P;29627
2014-10-13T03:00:00+04:00;2014-10-15T12:51:11+04:00;;Y;10250.0000;P;29627
2014-10-20T03:00:00+04:00;2014-12-22T16:33:14+03:00;;Y;69650.0000;P;813
2014-10-13T03:00:00+04:00;2014-11-05T14:19:53+03:00;;Y;13650.0000;P;13
2014-11-06T03:00:00+03:00;2014-11-26T08:03:09+03:00;;Y;5000.0000;P;29637
2014-11-09T03:00:00+03:00;2015-01-13T14:39:54+03:00;;Y;10500.0000;P;119
2014-10-02T03:00:00+04:00;2015-03-11T13:48:58+03:00;;Y;27600.0000;P;823
2014-11-24T03:00:00+03:00;2014-12-02T08:20:42+03:00;;Y;7450.0000;P;13
2014-12-10T03:00:00+03:00;2014-12-29T13:47:56+03:00;;Y;27600.0000;P;29637
2014-12-10T03:00:00+03:00;2014-12-23T08:18:43+03:00;;Y;13000.0000;P;29637
2014-12-15T03:00:00+03:00;2015-05-27T16:00:06+03:00;;N;1078.0000;D;195
2014-12-18T03:00:00+03:00;2014-12-29T14:36:03+03:00;;Y;3450.0000;P;195
2014-12-21T03:00:00+03:00;;;N;159405.4100;D;813
2014-12-21T03:00:00+03:00;2015-01-16T11:21:14+03:00;;Y;28150.0000;P;13
2014-12-22T03:00:00+03:00;2014-12-29T14:35:54+03:00;;Y;1078.0000;P;181
2014-12-24T03:00:00+03:00;2015-01-16T11:01:45+03:00;;Y;40000.0000;P;13
2014-12-25T03:00:00+03:00;2015-04-28T07:43:50+03:00;;Y;19000.0000;P;803
2014-12-25T03:00:00+03:00;2014-12-29T14:35:50+03:00;;Y;1150.0000;P;195
2014-12-28T03:00:00+03:00;2015-01-27T07:44:57+03:00;;Y;875.0000;P;119
2014-12-29T03:00:00+03:00;2015-05-29T16:27:47+03:00;;Y;22200.0000;P;27647
2015-01-12T03:00:00+03:00;2015-01-21T19:53:36+03:00;;Y;10250.0000;P;29627
2015-01-13T03:00:00+03:00;2015-01-27T07:45:01+03:00;;Y;1960.0000;P;119
2015-01-15T03:00:00+03:00;2015-01-23T07:20:42+03:00;;Y;10500.0000;P;13
2015-01-15T03:00:00+03:00;2015-02-04T19:55:04+03:00;;Y;10000.0000;P;59
2015-01-15T03:00:00+03:00;2015-04-02T10:39:14+03:00;;Y;40600.0000;P;813
2015-01-19T03:00:00+03:00;2015-01-27T12:28:32+03:00;;Y;19800.0000;P;29661
2015-01-19T03:00:00+03:00;2015-01-27T12:28:40+03:00;;Y;21275.0000;P;29661
2015-01-20T03:00:00+03:00;2015-03-10T17:42:24+03:00;;Y;5775.0000;P;13
2015-01-24T03:00:00+03:00;2015-03-10T17:53:45+03:00;;Y;8400.0000;P;775
2015-01-26T03:00:00+03:00;2015-03-10T10:57:50+03:00;;Y;2300.0000;P;29669
2015-01-28T03:00:00+03:00;2015-03-14T07:58:19+03:00;;Y;1250.0000;P;29673
2015-01-28T03:00:00+03:00;2015-02-16T16:28:44+03:00;;Y;3300.0000;P;29675
2015-02-02T03:00:00+03:00;2015-02-03T12:45:51+03:00;;Y;3300.0000;P;29677
2015-02-09T03:00:00+03:00;2015-03-02T11:35:07+03:00;;Y;4800.0000;P;771
2015-02-11T03:00:00+03:00;2015-03-06T09:04:25+03:00;;Y;23000.0000;P;29637
2015-02-15T03:00:00+03:00;2015-02-16T16:26:55+03:00;;Y;3300.0000;P;29675
2015-02-20T03:00:00+03:00;2015-03-02T07:38:33+03:00;;Y;27450.0000;P;29691
2015-02-24T03:00:00+03:00;2015-02-27T06:15:01+03:00;;Y;14221.0000;P;29693
2015-02-20T03:00:00+03:00;2015-03-10T17:49:27+03:00;2015-02-27T03:00:00+03:00;Y;1000.0000;P;825
2015-02-26T03:00:00+03:00;2015-03-18T08:44:11+03:00;;Y;4000.0000;P;29671
2015-02-26T03:00:00+03:00;2015-03-18T08:44:01+03:00;;Y;30000.0000;P;29671
2015-02-26T03:00:00+03:00;2015-02-27T06:20:56+03:00;;Y;6138.0000;P;771
2015-02-26T03:00:00+03:00;;;N;129500.0000;D;29695
